iata,manufacturer,model
A19N,Airbus,A319neo
A20N,Airbus,A320neo
A21N,Airbus,A321neo
A306,Airbus,A300-600
A318,Airbus,A318
A319,Airbus,A319
A320,Airbus,A320
A321,Airbus,A321
A330,Airbus,A330-300
A332,Airbus,A330-200
A333,Airbus,A330-300
A338,Airbus,A330-800neo
A339,Airbus,A330-900neo
A340,Airbus,A340
A342,Airbus,A340-200
A343,Airbus,A340-300
A345,Airbus,A340-500
A346,Airbus,A340-600
A350,Airbus,A350
A359,Airbus,A350-900
A35K,Airbus,A350-1000
A380,Airbus,A380
A388,Airbus,A380-800
AT43,ATR,42-300
AT44,ATR,42-400
AT45,ATR,42-500
AT46,ATR,42-600
AT75,ATR,72-500
AT76,ATR,72-600
B712,Boeing,717-200
B731,Boeing,737-100
B732,Boeing,737-200
B733,Boeing,737-300
B734,Boeing,737-400
B735,Boeing,737-500
B736,Boeing,737-600
B737,Boeing,737-700
B738,Boeing,737-800
B739,Boeing,737-900
B741,Boeing,747-100
B742,Boeing,747-200
B743,Boeing,747-300
B744,Boeing,747-400
B748,Boeing,747-8
B752,Boeing,757-200
B753,Boeing,757-300
B762,Boeing,767-200
B763,Boeing,767-300
B764,Boeing,767-400
B772,Boeing,777-200
B773,Boeing,777-300
B77L,Boeing,777-200LR
B77W,Boeing,777-300ER
B778,Boeing,777-8
B779,Boeing,777-9
B787,Boeing,787-8
B788,Boeing,787-8
B789,Boeing,787-9
B78X,Boeing,787-10
B3XM,Boeing,737 MAX 10
B37M,Boeing,737 MAX 7
B38M,Boeing,737 MAX 8
B39M,Boeing,737 MAX 9
BCS1,Airbus,A220-100
BCS3,Airbus,A220-300
BN2P,Britten-Norman,BN-2 Islander
C919,Comac,C919
CRJ2,Mitsubishi,CRJ200
CRJ7,Mitsubishi,CRJ700
CRJ9,Mitsubishi,CRJ900
CRJX,Mitsubishi,CRJ1000
DH8A,De Havilland Canada,Dash 8-100
DH8B,De Havilland Canada,Dash 8-200
DH8C,De Havilland Canada,Dash 8-300
DH8D,De Havilland Canada,Dash 8-400
E120,Embraer,EMB 120 Brasilia
E135,Embraer,ERJ 135
E140,Embraer,ERJ 140
E145,Embraer,ERJ 145
E170,Embraer,E170
E175,Embraer,E175
E190,Embraer,E190
E195,Embraer,E195
E275,Embraer,E175-E2
E290,Embraer,E190-E2
E75L,Embraer,E175 (Long Wing)
E75S,Embraer,E175 (Short Wing)
F50,Fokker,F50
F100,Fokker,F100
MD82,McDonnell Douglas,MD-82
MD88,McDonnell Douglas,MD-88
RJ85,Avro,RJ85
T154,Tupolev,Tu-154
T204,Tupolev,Tu-204
SB20,Saab,2000
SF34,Saab,340
BCSX,Airbus,A220
B73X,Boeing,737
A139,Leonardo,AW139
B757,Boeing,757
B767,Boeing,767
B717,Boeing,717
B777,Boeing,777
E295,Embraer,E195-E2
