rate_date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLE,SOS,SRD,SSP,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XCG,XOF,XPF,YER,ZAR,ZMW,ZWG,XAU,XAG,XPD,XPT
1999-01-04,4.3185,5586,162.39,611.51,2.1049,819082,1.1754,1.9113,2.1049,1.088,1.9558,2.389,57.031,0.44332,567.21,1.1759,1.9476,6.6437,1.4203,1.1759,49.684,5.239,2770.74,2.3518,1.8093,3.1211,1.6142,556.01,9.7409,1820.1,318.68,27.046,110.26,35.145,208.98,7.4598,18.6003,69.665,4.0059,8.684,8.5822,2.3424,0.70834,0.70834,1.9559,0.70834,1.2538,0.70929,12.9936,1521.62,7.9373,185.89,9.1082,16.4413,19.4811,252.13,9409,4.8966,0.70834,49.684,0.36559,2880.93,81.54,0.70834,43.928,0.83371,133.9,72.61,34.545,4550.72,490.71,2.587,1402.98,0.35482,0.97364,98.99,4634.21,1777.91,78.973,1.1759,6.9143,0.50447,10.8383,9.793,2527.8,62.111,7.3494,1011.85,9.3814,42.531,29.003,13.8403,52.033,11.6318,4.4748,14513,6.8673,25.736,13.0806,8.8808,79.873,2.2245,0.45213,1.1759,3.7033,2.4756,45.622,59.424,4.0817,3345.43,4.2805,6442,11.7383,24.9,377.03,4.4096,5.5995,6.4051,2.6741,9.4967,1.9476,0.70834,13.965,3080.85,3.3666,4.2465,24.408,10.289,54.875,6.9143,42.654,137.3,3.9698,1.2835,1.8814,0.37055,7.3645,37.869,806.68,4.3585,1594.18,1.1759,12.6294,129.35,92671,16334,150.33,3.4865,655.96,3.1749,1.9342,655.96,118.95,166.14,6.8665,6.9019,15.3427,0.00419,0.24456,0.00184,0.00333
1999-01-05,4.3343,5606,163.58,613.39,2.1126,822007,1.1797,1.9029,2.1126,1.088,1.9558,2.407,57.24,0.44494,570.29,1.1802,1.9602,6.668,1.4252,1.1802,49.839,5.2037,2770.74,2.3604,1.8025,3.1211,1.6138,557.84,9.7694,1827.25,319.88,27.145,110.26,35.043,209.74,7.4525,18.6706,69.921,4.0206,8.7158,8.6147,2.351,0.71212,0.71212,1.9631,0.71212,1.2538,0.71292,13.0411,1525.01,7.9663,186.76,9.1423,16.5062,19.1782,251.48,9303,4.9035,0.71212,49.839,0.36692,2891.46,81.63,0.71212,44.071,0.83676,132.32,73.025,34.67,4567.37,492.47,2.5964,1388.44,0.35597,0.9772,99.34,4651.15,1784.38,79.284,1.1802,6.8274,0.50579,10.8985,9.8014,2527.8,62.338,7.3762,1015.55,9.4166,42.531,29.11,13.8909,52.224,11.6061,4.4849,14566,6.8673,25.83,13.1284,8.8209,80.16,2.2128,0.45379,1.1802,3.7169,2.4846,45.083,59.574,4.0578,3357.66,4.2961,6465,11.7383,25.299,378.41,4.4257,5.62,6.4451,2.6741,9.4534,1.9602,0.71212,13.965,3092.12,3.3666,4.2465,24.408,10.3267,55.076,6.8274,42.746,137.3,3.9698,1.2879,1.8883,0.37237,7.3887,37.974,810.01,4.4004,1600.42,1.1802,12.6785,130.18,92671,16398,150.84,3.4981,655.96,3.1865,1.9342,655.96,119.37,166.75,6.8763,6.9019,15.3427,0.00419,0.24456,0.00184,0.00333
1999-01-06,4.3222,5590,163.12,611.42,2.1067,819509,1.1764,1.8879,2.1067,1.088,1.9558,2.4067,57.08,0.4437,568.7,1.1769,1.9614,6.6494,1.4216,1.1769,49.745,5.2191,2770.74,2.3538,1.7847,3.1211,1.6148,556.01,9.7422,1822.66,319.04,27.069,110.26,34.939,209.16,7.4462,18.621,69.844,4.0094,8.6915,8.5919,2.3444,0.7098,0.7098,1.9576,0.7098,1.2538,0.70917,13.0049,1520.76,7.9441,186.47,9.1177,16.4649,19.1247,251.11,9326,4.8898,0.7098,49.745,0.3659,2883.72,81.37,0.7098,43.938,0.83443,131.76,72.821,34.573,4554.65,493.06,2.5892,1378.16,0.35516,0.97448,99.03,4638.2,1779.61,79.086,1.1769,6.7437,0.50438,10.8749,9.7784,2527.8,62.164,7.3557,1012.72,9.3912,42.531,29.029,13.8522,52.078,11.5523,4.4736,14525,6.8673,25.758,13.0919,8.7628,79.942,2.2039,0.45252,1.1769,3.7065,2.4777,45.122,59.408,4.031,3348.31,4.2842,6447,11.7383,25.749,377.35,4.4134,5.6043,6.4271,2.6741,9.3726,1.9614,0.7098,13.965,3083.5,3.3666,4.2465,24.408,10.2979,54.922,6.7437,42.863,137.3,3.9698,1.2863,1.8831,0.37193,7.3719,37.883,807.76,4.4596,1596.39,1.1769,12.6462,129.85,92671,16353,150.38,3.4872,655.96,3.1777,1.9342,655.96,119.52,166.28,6.8113,6.9019,15.3427,0.00419,0.24456,0.00184,0.00333
1999-01-07,4.2935,5553,162.04,607.17,2.0927,814140,1.1686,1.863,2.0927,1.088,1.9558,2.3712,56.702,0.44076,564.93,1.1691,1.9497,6.6053,1.4125,1.1691,49.464,5.1845,2770.74,2.3382,1.7678,3.1211,1.6166,551.81,9.6768,1811.06,316.96,26.889,110.26,34.939,207.77,7.4459,18.4998,69.504,3.9828,8.6338,8.5361,2.3289,0.70679,0.70679,1.9446,0.70679,1.2538,0.70948,12.9185,1510.67,7.8914,185.5,9.0562,16.3604,18.9979,250.78,9238,4.8574,0.70679,49.464,0.36347,2864.59,81.17,0.70679,43.738,0.82889,130.65,72.338,34.344,4524.42,494.46,2.572,1363.82,0.35294,0.96802,98.55,4607.43,1767.77,78.584,1.1691,6.8743,0.50091,10.8498,9.7618,2527.8,61.752,7.3069,1006.01,9.3279,42.531,28.345,13.7603,51.207,11.5527,4.4453,14429,6.8673,25.587,13.0051,8.6732,79.411,2.1803,0.44952,1.1691,3.6819,2.4613,44.933,59.014,4.0225,3326.09,4.2557,6404,11.7383,25.959,374.85,4.3841,5.5671,6.3845,2.6741,9.2585,1.9497,0.70679,13.965,3063.05,3.3666,4.2465,24.408,10.2296,54.558,6.8743,42.385,137.3,3.9698,1.2797,1.8706,0.37085,7.3283,37.628,802.4,4.4724,1586.22,1.1691,12.5652,129.0,92671,16244,149.34,3.4629,655.96,3.1566,1.9342,655.96,119.86,165.18,6.8178,6.9019,15.3427,0.00419,0.24456,0.00184,0.00333
1999-01-08,4.2878,5546,161.82,606.82,2.0899,813268,1.167,1.8486,2.0899,1.088,1.9558,2.3807,56.626,0.44017,564.18,1.1676,1.95,6.5965,1.4109,1.1676,49.452,5.1719,2770.74,2.3351,1.7669,3.1211,1.6142,551.68,9.6636,1809.14,316.58,26.854,110.26,34.941,207.5,7.4449,18.4776,69.427,3.9771,8.6224,8.5259,2.3258,0.70803,0.70803,1.9444,0.70803,1.2538,0.7104,12.9013,1508.66,7.881,185.34,9.0454,16.3433,18.9726,250.62,9213,4.8213,0.70803,49.452,0.36299,2790.74,81.16,0.70803,43.656,0.82779,130.31,72.309,34.298,4518.42,492.66,2.5686,1375.29,0.35247,0.96673,98.42,4601.31,1765.9,78.501,1.1676,6.7835,0.49637,10.8192,9.7509,2527.8,61.67,7.2972,1016.83,9.3168,42.531,28.798,13.742,50.883,11.4787,4.4349,14410,6.8673,25.553,12.9878,8.6174,79.306,2.1681,0.44892,1.1676,3.6923,2.458,44.591,58.534,4.0372,3321.67,4.2501,6396,11.7383,26.024,374.35,4.3783,5.5598,6.376,2.6741,9.2012,1.95,0.70803,13.965,3058.97,3.3666,4.2465,24.408,10.216,54.779,6.7835,42.591,137.3,3.9698,1.281,1.8681,0.3717,7.3167,37.559,801.33,4.465,1584.53,1.1676,12.5514,128.84,92671,16174,149.1,3.4571,655.96,3.1524,1.9342,655.96,119.42,164.96,6.7953,6.9019,15.3427,0.00419,0.24456,0.00184,0.00333
1999-01-09,4.2854,5546,161.82,607.77,2.0899,813268,1.167,1.8473,2.0899,1.088,1.9558,2.3807,56.626,0.44017,564.18,1.1676,1.95,6.5965,1.4109,1.1676,49.452,5.1719,2770.74,2.3351,1.7653,3.1211,1.6147,551.68,9.6579,1809.14,316.58,26.854,110.26,34.941,207.5,7.4459,18.4776,69.427,3.9745,8.6224,8.5259,2.3258,0.70803,0.70811,1.9444,0.70811,1.2538,0.7104,12.9013,1508.66,7.881,185.34,9.0403,16.3433,18.9726,250.62,9213,4.8213,0.70811,49.452,0.36299,2738.71,81.16,0.70811,43.656,0.82779,130.11,72.309,34.343,4518.42,492.66,2.5686,1375.23,0.35226,0.96673,98.31,4601.31,1765.25,78.501,1.1676,6.7835,0.49637,10.8192,9.7401,2527.8,61.67,7.2972,1016.83,9.3115,42.531,28.798,13.742,50.883,11.4787,4.4324,14410,6.8673,25.553,12.9878,8.6134,79.306,2.1655,0.44892,1.1676,3.6923,2.458,44.591,58.534,4.0372,3321.67,4.2501,6396,11.7383,26.074,374.35,4.3783,5.5598,6.376,2.6741,9.1975,1.9488,0.70803,13.965,3058.97,3.3666,4.2465,24.408,10.216,54.779,6.7835,42.591,137.3,3.9698,1.281,1.8681,0.3717,7.3167,37.537,801.33,4.4052,1584.53,1.1669,12.5514,128.82,92671,16174,149.1,3.4571,655.96,3.1524,1.9342,655.96,119.42,164.96,6.7953,6.9019,15.3427,0.00419,0.24456,0.00184,0.00333
1999-01-10,4.2852,5546,161.82,607.77,2.0899,813268,1.167,1.8471,2.0899,1.088,1.9558,2.3807,56.626,0.44017,564.18,1.1676,1.95,6.5965,1.4109,1.1676,49.452,5.1719,2770.74,2.3351,1.7653,3.1211,1.6148,551.68,9.6579,1809.14,316.58,26.854,110.26,34.941,207.5,7.4459,18.4776,69.427,3.9742,8.6224,8.5259,2.3258,0.70803,0.70833,1.9444,0.70833,1.2538,0.7104,12.9013,1508.66,7.881,185.34,9.04,16.3433,18.9726,250.62,9213,4.8213,0.70833,49.452,0.36299,2704.6,81.16,0.70833,43.656,0.82779,130.11,72.309,34.345,4518.42,492.66,2.5686,1375.23,0.35225,0.96673,98.31,4601.31,1765.59,78.501,1.1676,6.7835,0.49637,10.8192,9.7398,2527.8,61.67,7.2972,1016.83,9.3115,42.531,28.798,13.742,50.883,11.4787,4.4324,14410,6.8673,25.553,12.9878,8.6091,79.306,2.1655,0.44892,1.1676,3.6923,2.458,44.591,58.534,4.0372,3321.67,4.2501,6396,11.7383,26.129,374.35,4.3783,5.5598,6.376,2.6741,9.1938,1.9493,0.70803,13.965,3058.97,3.3666,4.2465,24.408,10.216,54.779,6.7835,42.591,137.3,3.9698,1.281,1.8681,0.3717,7.3167,37.537,801.33,4.4051,1584.53,1.1668,12.5514,128.82,92671,16174,149.1,3.4571,655.96,3.1524,1.9342,655.96,119.42,164.96,6.7953,6.9019,15.3427,0.00419,0.24456,0.00184,0.00333
1999-01-11,4.2657,5517,161.1,605.47,2.0791,809078,1.1614,1.8271,2.0791,1.088,1.9558,2.3556,56.334,0.4379,569.99,1.1615,1.9428,6.5625,1.4046,1.1615,49.31,5.1566,2770.74,2.3231,1.7559,3.1211,1.6132,547.82,9.6231,1792.45,314.99,26.715,110.26,35.061,206.43,7.448,18.3848,69.264,3.9554,8.5779,8.4991,2.3138,0.70723,0.70723,1.9383,0.70723,1.2538,0.70722,12.8349,1489.95,8.2062,184.36,8.9995,16.2638,19.2233,250.25,9217,4.7449,0.70723,49.31,0.36112,2778.67,80.84,0.70723,43.425,0.82353,128.3,72.041,34.257,4495.14,493.94,2.5554,1363.96,0.35063,0.96175,97.92,4577.6,1757.45,78.119,1.1615,6.8153,0.48743,10.8055,9.7497,2527.8,60.667,7.2596,998.2,9.2695,42.531,29.021,13.6712,50.294,11.4749,4.4074,14367,6.8673,25.421,12.9209,8.5788,78.897,2.1422,0.44661,1.1615,3.687,2.4453,43.734,58.585,4.0373,3310.37,4.2284,6546,11.7383,26.303,372.42,4.3558,5.5311,6.3199,2.6741,9.1417,1.9428,0.70723,13.965,3043.21,3.3666,4.2465,24.408,10.1634,54.989,6.8153,42.075,137.3,3.9698,1.275,1.8585,0.37177,7.2781,37.32,798.12,4.3942,1576.78,1.1615,12.4947,128.21,92671,16106,148.29,3.4381,655.96,3.1361,1.9342,655.96,119.73,164.95,6.7916,6.9019,15.3427,0.00407,0.2275,0.00184,0.00331
1999-01-12,4.2384,5482,160.07,601.72,2.0658,803823,1.154,1.8107,2.0658,1.088,1.9558,2.3332,55.973,0.43509,566.33,1.1541,1.9333,6.532,1.3963,1.1541,49.014,5.3467,2770.74,2.3082,1.7422,3.1211,1.6069,544.65,9.5599,1781.45,313.01,26.544,110.26,35.183,205.1,7.4536,18.2692,69.178,3.9315,8.5576,8.4458,2.299,0.70597,0.70597,2.2544,0.70597,1.2538,0.70788,12.7527,1480.4,8.0382,183.19,8.94,16.1641,19.1002,249.65,9221,4.7032,0.70597,49.014,0.35881,2741.13,80.73,0.70597,43.537,0.81825,128.61,71.568,34.108,4466.32,492.86,2.539,1356.6,0.34874,0.95559,97.37,4548.26,1746.53,77.64,1.1541,6.9592,0.48367,10.804,9.7712,2527.8,61.421,7.2131,991.69,9.2082,42.531,28.466,13.5836,49.891,11.5152,4.3865,14275,6.8673,25.258,12.838,8.5941,78.391,2.1229,0.44375,1.1541,3.7202,2.4297,43.711,57.807,4.0396,3289.15,4.2013,6504,11.7383,26.181,370.03,4.3278,5.4957,6.2794,2.6741,9.106,1.9333,0.70597,13.965,3023.71,3.3666,4.2465,24.408,10.0983,54.705,6.9592,42.061,137.3,3.9698,1.2749,1.8465,0.37144,7.2222,37.084,793.0,4.3909,1567.09,1.1541,12.4175,127.54,92671,16000,147.3,3.4149,655.96,3.116,1.9342,655.96,119.47,163.89,6.8858,6.9019,15.3427,0.00404,0.22411,0.00184,0.00328
1999-01-13,4.2673,5519,161.17,605.74,2.0799,809039,1.1619,1.8306,2.0799,1.088,1.9558,2.3518,56.356,0.43806,570.2,1.162,1.9532,6.5766,1.4066,1.162,49.322,5.3832,2770.74,2.3239,1.7691,3.1211,1.5977,549.26,9.625,1794.11,315.2,26.725,110.26,35.64,206.51,7.4379,18.3964,69.633,3.959,8.6009,8.5047,2.3147,0.70731,0.70731,2.2735,0.70731,1.2538,0.7009,12.8398,1490.51,8.0931,185.43,9.0001,16.2792,19.2306,251.83,9736,4.7294,0.70731,49.322,0.36126,2752.57,80.79,0.70731,43.964,0.82384,130.14,71.995,34.334,4496.83,486.76,2.5563,1365.36,0.35041,0.96211,98.14,4579.34,1758.78,78.193,1.162,7.1926,0.48539,10.7931,9.8745,2527.8,60.969,7.2623,1003.06,9.2701,42.531,28.875,13.6763,50.232,12.1102,4.4133,14373,6.8673,25.431,12.9258,8.6681,78.927,2.145,0.44678,1.162,3.7474,2.4463,44.611,58.294,4.1151,3311.62,4.23,6548,11.7383,26.015,372.56,4.3574,5.5332,6.3223,2.6741,9.089,1.9532,0.70731,13.965,3044.36,3.3666,4.2465,24.408,10.1673,55.123,7.1926,42.662,137.3,3.9698,1.2759,1.8592,0.37318,7.2842,37.369,798.42,4.4675,1578.2,1.162,12.5053,128.4,92671,16118,148.26,3.4371,655.96,3.1373,1.9342,655.96,117.99,165.01,7.0373,6.9019,15.3427,0.00409,0.2214,0.00184,0.00331
